nuts,code,regions,year,year_num,pop,gdp,gdp_pc,occ_agr,occ_ind,occ_ser,occ_tot,gov_type,years_since,federal
R331,I5,trentino-alto adige,1978,1978,8671000,10231787825.992859,11800.00902547902,0.06665897820320608,0.11970937608119017,0.2645600276784685,0.4509283819628647,special statute,1,0
R331,I5,trentino-alto adige,1979,1979,8692000,11041049218.670975,12702.541668972588,0.06707317073170732,0.11861481822365394,0.2810630464795214,0.46675103543488267,special statute,2,0
R331,I5,trentino-alto adige,1980,1980,8710000,11488540559.169992,13190.058047267501,0.07198622273249139,0.12078071182548794,0.29173363949483355,0.4845005740528129,special statute,3,0
R331,I5,trentino-alto adige,1981,1981,8720000,11092166816.097958,12720.374789103162,0.07339449541284404,0.12305045871559633,0.30412844036697245,0.5005733944954128,special statute,4,0
R331,I5,trentino-alto adige,1982,1982,8730000,11066612360.584946,12676.531913613911,0.0679266895761741,0.11912943871706758,0.3096219931271478,0.4966781214203895,special statute,5,0
R331,I5,trentino-alto adige,1983,1983,8740000,10846356123.215628,12410.018447615135,0.07048054919908467,0.11773455377574371,0.3157894736842105,0.5040045766590389,special statute,6,0
R331,I5,trentino-alto adige,1984,1984,8740000,11185790363.721151,12798.38714384571,0.07254004576659039,0.11224256292906179,0.3209382151029748,0.505720823798627,special statute,7,0
R331,I5,trentino-alto adige,1985,1985,8750000,11059111445.783134,12638.984509466438,0.06777142857142857,0.10502857142857143,0.32925714285714286,0.5020571428571429,special statute,8,0
R331,I5,trentino-alto adige,1986,1986,8760000,11290555155.010817,12888.7615924781,0.0658675799086758,0.10410958904109589,0.3361872146118721,0.5061643835616438,special statute,9,0
R331,I5,trentino-alto adige,1987,1987,8770000,11670305989.769941,13307.076385142464,0.062371721778791335,0.10866590649942988,0.3361459521094641,0.5071835803876853,special statute,10,0
R331,I5,trentino-alto adige,1988,1988,8780000,12494822680.65311,14231.005331039989,0.062300683371298404,0.11309794988610479,0.33302961275626425,0.5084282460136674,special statute,11,0
R331,I5,trentino-alto adige,1989,1989,8810000,12862358176.201683,14599.7255121472,0.056867196367763904,0.11259931895573212,0.3425652667423382,0.5120317820658343,special statute,12,0
R331,I5,trentino-alto adige,1990,1990,8840000,13172496367.260746,14901.013990113966,0.05576923076923077,0.11504524886877827,0.34649321266968325,0.5173076923076924,special statute,13,0
R331,I5,trentino-alto adige,1991,1991,8870000,13630490956.07235,15366.957109438952,0.054791431792559186,0.10597519729425028,0.3541149943630214,0.5148816234498309,special statute,14,0
R331,I5,trentino-alto adige,1992,1992,8910000,13773925534.584694,15458.951217266773,0.051739618406285076,0.11380471380471381,0.35331088664422,0.5188552188552189,special statute,15,0
R331,I5,trentino-alto adige,1993,1993,8970000,13168237941.617432,14680.309856875621,0.046822742474916385,0.11259754738015608,0.36265328874024527,0.5220735785953178,special statute,16,0
R332,I6,veneto,1977,1977,42777000,48535834229.525734,11346.24546591059,0.048764522991327115,0.17116674848633612,0.18091497767491876,0.400846249152582,ordinary,0,0
R332,I6,veneto,1978,1978,42969000,49035374347.53067,11411.802543119615,0.0510833391514813,0.16951755917056482,0.1821313039633224,0.40273220228536855,ordinary,1,0
R332,I6,veneto,1979,1979,43134000,52433059480.951164,12155.853730456523,0.05012287290768303,0.1772847405758798,0.18572355914128066,0.4131311726248435,ordinary,2,0
R332,I6,veneto,1980,1980,43260000,53052220195.537186,12263.57378537614,0.05141007859454461,0.18511326860841423,0.18841886269070734,0.4249422098936662,ordinary,3,0
R332,I6,veneto,1981,1981,43350000,52565029336.19102,12125.727643873359,0.0516724336793541,0.17720876585928488,0.2011764705882353,0.4300576701268743,ordinary,4,0
R332,I6,veneto,1982,1982,43430000,51567195407.04454,11873.63467811295,0.05005756389592447,0.17545475477780337,0.20808197098779646,0.4335942896615243,ordinary,5,0
R332,I6,veneto,1983,1983,43460000,50160030052.59203,11541.654406947086,0.05319834330418776,0.16661297745052922,0.2112287160607455,0.4310400368154625,ordinary,6,0
R332,I6,veneto,1984,1984,43460000,51369119631.18406,11819.861857152338,0.05087436723423838,0.16371375977910724,0.2175103543488265,0.4320984813621721,ordinary,7,0
R332,I6,veneto,1985,1985,43480000,52053162650.60242,11971.748539696968,0.04864305427782889,0.1701931922723091,0.212672493100276,0.431508739650414,ordinary,8,0
R332,I6,veneto,1986,1986,43510000,53529983386.10075,12302.915050816076,0.04996552516662836,0.17032866007814296,0.22296023902551138,0.4432544242702827,ordinary,9,0
R332,I6,veneto,1987,1987,43520000,55449408631.710045,12741.13249809514,0.049448529411764704,0.16941636029411763,0.2346966911764706,0.45356158088235293,ordinary,10,0
R332,I6,veneto,1988,1988,43540000,58391989135.310844,13411.113719639607,0.04648598989435002,0.178226917776757,0.2410656867248507,0.46577859439595776,ordinary,11,0
R332,I6,veneto,1989,1989,43600000,60673169065.25849,13915.864464508828,0.043096330275229355,0.18178899082568808,0.2394954128440367,0.4643807339449541,ordinary,12,0
R332,I6,veneto,1990,1990,43650000,61095613910.28745,13996.704217706174,0.041603665521191296,0.18323024054982817,0.2404123711340206,0.4652462772050401,ordinary,13,0
R332,I6,veneto,1991,1991,43740000,62288417986.09242,14240.607678576227,0.04231824417009602,0.17873799725651576,0.2452217649748514,0.4662780064014632,ordinary,14,0
